Fecha,Unidades
8/1/2015,1067
9/1/2015,1180
10/1/2015,377
11/1/2015,0
12/1/2015,2
13/1/2015,859
14/1/2015,1111
15/1/2015,949
16/1/2015,1271
17/1/2015,394
18/1/2015,0
19/1/2015,811
20/1/2015,1097
21/1/2015,1169
22/1/2015,1044
23/1/2015,772
24/1/2015,323
25/1/2015,0
26/1/2015,731
27/1/2015,1164
28/1/2015,1171
29/1/2015,1250
30/1/2015,1580
31/1/2015,659
1/2/2015,1
2/2/2015,739
3/2/2015,880
4/2/2015,1033
5/2/2015,1016
6/2/2015,1181
7/2/2015,312
8/2/2015,0
9/2/2015,856
10/2/2015,1074
11/2/2015,1203
12/2/2015,1145
13/2/2015,1091
14/2/2015,274
15/2/2015,1
16/2/2015,667
17/2/2015,994
18/2/2015,1081
19/2/2015,1136
20/2/2015,1121
21/2/2015,331
22/2/2015,22
23/2/2015,787
24/2/2015,1153
25/2/2015,1242
26/2/2015,1188
27/2/2015,1791
28/2/2015,691
1/3/2015,0
2/3/2015,438
3/3/2015,1071
4/3/2015,1129
5/3/2015,1310
6/3/2015,1126
7/3/2015,293
8/3/2015,1
9/3/2015,665
10/3/2015,1051
11/3/2015,1196
12/3/2015,1184
13/3/2015,1141
14/3/2015,314
15/3/2015,0
16/3/2015,734
17/3/2015,974
18/3/2015,1118
19/3/2015,1091
20/3/2015,1210
21/3/2015,312
22/3/2015,0
23/3/2015,0
24/3/2015,862
25/3/2015,1098
26/3/2015,1174
27/3/2015,1723
28/3/2015,541
29/3/2015,29
30/3/2015,1333
31/3/2015,1692
1/4/2015,613
2/4/2015,0
3/4/2015,0
4/4/2015,1
5/4/2015,0
6/4/2015,634
7/4/2015,882
8/4/2015,1030
9/4/2015,1098
10/4/2015,1110
11/4/2015,316
12/4/2015,0
13/4/2015,740
14/4/2015,1112
15/4/2015,1114
16/4/2015,1072
17/4/2015,1086
18/4/2015,251
19/4/2015,11
20/4/2015,749
21/4/2015,972
22/4/2015,1042
23/4/2015,1089
24/4/2015,1042
25/4/2015,383
26/4/2015,0
27/4/2015,816
28/4/2015,1326
29/4/2015,1487
30/4/2015,2007
1/5/2015,0
2/5/2015,117
3/5/2015,0
4/5/2015,555
5/5/2015,839
6/5/2015,1005
7/5/2015,1183
8/5/2015,1212
9/5/2015,310
10/5/2015,0
11/5/2015,797
12/5/2015,1091
13/5/2015,1107
14/5/2015,1222
15/5/2015,1203
16/5/2015,327
17/5/2015,2
18/5/2015,0
19/5/2015,792
20/5/2015,1034
21/5/2015,1065
22/5/2015,1159
23/5/2015,323
24/5/2015,0
25/5/2015,916
26/5/2015,1174
27/5/2015,1244
28/5/2015,1419
29/5/2015,1725
30/5/2015,827
31/5/2015,1
1/6/2015,524
2/6/2015,820
3/6/2015,1033
4/6/2015,1201
5/6/2015,1180
6/6/2015,334
7/6/2015,2
8/6/2015,0
9/6/2015,808
10/6/2015,1149
11/6/2015,1233
12/6/2015,1239
13/6/2015,437
14/6/2015,0
15/6/2015,0
16/6/2015,732
17/6/2015,1051
18/6/2015,1169
19/6/2015,1141
20/6/2015,397
21/6/2015,0
22/6/2015,686
23/6/2015,1188
24/6/2015,1236
25/6/2015,1463
26/6/2015,1420
27/6/2015,530
28/6/2015,7
29/6/2015,0
30/6/2015,1643
1/7/2015,743
2/7/2015,985
3/7/2015,1099
4/7/2015,310
5/7/2015,2
6/7/2015,639
7/7/2015,1088
8/7/2015,1257
9/7/2015,1201
10/7/2015,1226
11/7/2015,364
12/7/2015,20
13/7/2015,864
14/7/2015,1080
15/7/2015,1226
16/7/2015,1182
17/7/2015,1002
18/7/2015,324
19/7/2015,0
20/7/2015,0
21/7/2015,731
22/7/2015,1041
23/7/2015,1329
24/7/2015,1110
25/7/2015,420
26/7/2015,8
27/7/2015,1010
28/7/2015,1322
29/7/2015,1486
30/7/2015,1589
31/7/2015,2083
1/8/2015,244
2/8/2015,0
3/8/2015,651
4/8/2015,1023
5/8/2015,1211
6/8/2015,1254
7/8/2015,28
8/8/2015,245
9/8/2015,0
10/8/2015,865
11/8/2015,1143
12/8/2015,1157
13/8/2015,1194
14/8/2015,1103
15/8/2015,361
16/8/2015,4
17/8/2015,0
18/8/2015,724
19/8/2015,1061
20/8/2015,1097
21/8/2015,1209
22/8/2015,394
23/8/2015,1
24/8/2015,745
25/8/2015,1207
26/8/2015,1277
27/8/2015,1298
28/8/2015,1586
29/8/2015,541
30/8/2015,20
31/8/2015,1686
1/9/2015,744
2/9/2015,896
3/9/2015,953
4/9/2015,1198
5/9/2015,298
6/9/2015,1
7/9/2015,898
8/9/2015,1095
9/9/2015,1230
10/9/2015,1214
11/9/2015,1141
12/9/2015,371
13/9/2015,0
14/9/2015,832
15/9/2015,1053
16/9/2015,1057
17/9/2015,1115
18/9/2015,1034
19/9/2015,244
20/9/2015,2
21/9/2015,519
22/9/2015,1054
23/9/2015,1199
24/9/2015,1110
25/9/2015,985
26/9/2015,347
27/9/2015,0
28/9/2015,939
29/9/2015,1365
30/9/2015,2121
1/10/2015,774
2/10/2015,819
3/10/2015,242
4/10/2015,0
5/10/2015,617
6/10/2015,1012
7/10/2015,993
8/10/2015,992
9/10/2015,973
10/10/2015,326
11/10/2015,5
12/10/2015,0
13/10/2015,773
14/10/2015,982
15/10/2015,1051
16/10/2015,1069
17/10/2015,270
18/10/2015,0
19/10/2015,630
20/10/2015,909
21/10/2015,987
22/10/2015,979
23/10/2015,920
24/10/2015,428
25/10/2015,25
26/10/2015,741
27/10/2015,1075
28/10/2015,1210
29/10/2015,1395
30/10/2015,1615
31/10/2015,757
1/11/2015,18
2/11/2015,0
3/11/2015,517
4/11/2015,792
5/11/2015,904
6/11/2015,986
7/11/2015,370
8/11/2015,0
9/11/2015,773
10/11/2015,1019
11/11/2015,1051
12/11/2015,1099
13/11/2015,1061
14/11/2015,240
15/11/2015,1
16/11/2015,0
17/11/2015,651
18/11/2015,940
19/11/2015,1138
20/11/2015,1100
21/11/2015,295
22/11/2015,0
23/11/2015,766
24/11/2015,1048
25/11/2015,1243
26/11/2015,1281
27/11/2015,1344
28/11/2015,617
29/11/2015,0
30/11/2015,1848
1/12/2015,669
2/12/2015,949
3/12/2015,1053
4/12/2015,1281
5/12/2015,350
6/12/2015,0
7/12/2015,807
8/12/2015,5
9/12/2015,1032
10/12/2015,1249
11/12/2015,1387
12/12/2015,364
13/12/2015,0
