,Fecha,Unidades_pred
679,2013-11-10,0
680,2013-11-11,0
681,2013-11-12,1039
682,2013-11-13,1164
683,2013-11-14,1289
684,2013-11-15,1197
685,2013-11-16,447
686,2013-11-17,0
687,2013-11-18,1037
688,2013-11-19,1162
689,2013-11-20,1286
690,2013-11-21,1411
691,2013-11-22,1362
692,2013-11-23,579
693,2013-11-24,0
694,2013-11-25,1159
695,2013-11-26,1284
696,2013-11-27,1409
697,2013-11-28,1534
698,2013-11-29,1527
699,2013-11-30,744
700,2013-12-01,0
701,2013-12-02,780
702,2013-12-03,905
703,2013-12-04,1030
704,2013-12-05,1155
705,2013-12-06,1087
706,2013-12-07,397
707,2013-12-08,0
708,2013-12-09,903
709,2013-12-10,1027
710,2013-12-11,1152
711,2013-12-12,1277
712,2013-12-13,1175
713,2013-12-14,446
714,2013-12-15,0
715,2013-12-16,1025
716,2013-12-17,1150
717,2013-12-18,1275
718,2013-12-19,1400
719,2013-12-20,1340
720,2013-12-21,557
721,2013-12-22,0
722,2013-12-23,1148
723,2013-12-24,1272
724,2013-12-25,0
725,2013-12-26,1522
726,2013-12-27,1505
727,2013-12-28,722
728,2013-12-29,0
729,2013-12-30,1270
730,2013-12-31,1395
731,2014-01-01,0
732,2014-01-02,1016
733,2014-01-03,931
734,2014-01-04,241
735,2014-01-05,0
736,2014-01-06,0
737,2014-01-07,718
738,2014-01-08,843
739,2014-01-09,1022
740,2014-01-10,979
741,2014-01-11,290
742,2014-01-12,0
743,2014-01-13,716
744,2014-01-14,840
745,2014-01-15,965
746,2014-01-16,1090
747,2014-01-17,1028
748,2014-01-18,338
749,2014-01-19,0
750,2014-01-20,838
751,2014-01-21,963
752,2014-01-22,1088
753,2014-01-23,1213
754,2014-01-24,1162
755,2014-01-25,387
756,2014-01-26,0
757,2014-01-27,961
758,2014-01-28,1085
759,2014-01-29,1210
760,2014-01-30,1335
761,2014-01-31,1327
762,2014-02-01,232
763,2014-02-02,0
764,2014-02-03,564
765,2014-02-04,689
766,2014-02-05,814
767,2014-02-06,1031
768,2014-02-07,971
769,2014-02-08,281
770,2014-02-09,0
771,2014-02-10,686
772,2014-02-11,811
773,2014-02-12,936
774,2014-02-13,1061
775,2014-02-14,1020
776,2014-02-15,330
777,2014-02-16,0
778,2014-02-17,809
779,2014-02-18,934
780,2014-02-19,1059
781,2014-02-20,1183
782,2014-02-21,1116
783,2014-02-22,379
784,2014-02-23,0
785,2014-02-24,931
786,2014-02-25,1056
787,2014-02-26,1181
788,2014-02-27,1306
789,2014-02-28,1281
790,2014-03-01,244
791,2014-03-02,0
792,2014-03-03,587
793,2014-03-04,712
794,2014-03-05,837
795,2014-03-06,1042
796,2014-03-07,983
797,2014-03-08,293
798,2014-03-09,0
799,2014-03-10,710
800,2014-03-11,835
801,2014-03-12,959
802,2014-03-13,1084
803,2014-03-14,1032
804,2014-03-15,342
805,2014-03-16,0
806,2014-03-17,832
807,2014-03-18,957
808,2014-03-19,1082
809,2014-03-20,1207
810,2014-03-21,1141
811,2014-03-22,391
812,2014-03-23,0
813,2014-03-24,0
814,2014-03-25,1080
815,2014-03-26,1204
816,2014-03-27,1329
817,2014-03-28,1306
818,2014-03-29,523
819,2014-03-30,0
820,2014-03-31,1077
821,2014-04-01,683
822,2014-04-02,832
823,2014-04-03,1050
824,2014-04-04,974
825,2014-04-05,285
826,2014-04-06,0
827,2014-04-07,681
828,2014-04-08,805
829,2014-04-09,930
830,2014-04-10,1056
831,2014-04-11,1023
832,2014-04-12,333
833,2014-04-13,0
834,2014-04-14,803
835,2014-04-15,928
836,2014-04-16,1053
837,2014-04-17,0
838,2014-04-18,0
839,2014-04-19,382
840,2014-04-20,0
841,2014-04-21,926
842,2014-04-22,1050
843,2014-04-23,1175
844,2014-04-24,1300
845,2014-04-25,1260
846,2014-04-26,477
847,2014-04-27,0
848,2014-04-28,1048
849,2014-04-29,1173
850,2014-04-30,1298
851,2014-05-01,0
852,2014-05-02,973
853,2014-05-03,283
854,2014-05-04,0
855,2014-05-05,669
856,2014-05-06,794
857,2014-05-07,919
858,2014-05-08,1065
859,2014-05-09,1022
860,2014-05-10,332
861,2014-05-11,0
862,2014-05-12,792
863,2014-05-13,916
864,2014-05-14,1041
865,2014-05-15,1166
866,2014-05-16,1072
867,2014-05-17,381
868,2014-05-18,0
869,2014-05-19,914
870,2014-05-20,1039
871,2014-05-21,1164
872,2014-05-22,1288
873,2014-05-23,1237
874,2014-05-24,454
875,2014-05-25,0
876,2014-05-26,1037
877,2014-05-27,1161
878,2014-05-28,1286
879,2014-05-29,1411
880,2014-05-30,1402
881,2014-05-31,620
882,2014-06-01,0
883,2014-06-02,0
884,2014-06-03,765
885,2014-06-04,890
886,2014-06-05,1073
887,2014-06-06,1013
888,2014-06-07,323
889,2014-06-08,0
890,2014-06-09,762
891,2014-06-10,887
892,2014-06-11,1012
893,2014-06-12,1137
894,2014-06-13,1062
895,2014-06-14,372
896,2014-06-15,0
897,2014-06-16,885
898,2014-06-17,1010
899,2014-06-18,1135
900,2014-06-19,1259
901,2014-06-20,1191
902,2014-06-21,421
903,2014-06-22,0
904,2014-06-23,0
905,2014-06-24,1132
906,2014-06-25,1257
907,2014-06-26,1382
908,2014-06-27,1356
909,2014-06-28,573
910,2014-06-29,0
911,2014-06-30,0
912,2014-07-01,753
913,2014-07-02,878
914,2014-07-03,1083
915,2014-07-04,1011
916,2014-07-05,321
917,2014-07-06,0
918,2014-07-07,751
919,2014-07-08,876
920,2014-07-09,1000
921,2014-07-10,1125
922,2014-07-11,1060
923,2014-07-12,370
924,2014-07-13,0
925,2014-07-14,873
926,2014-07-15,998
927,2014-07-16,1123
928,2014-07-17,1248
929,2014-07-18,1169
930,2014-07-19,419
931,2014-07-20,0
932,2014-07-21,996
933,2014-07-22,1121
934,2014-07-23,1245
935,2014-07-24,1370
936,2014-07-25,1334
937,2014-07-26,551
938,2014-07-27,0
939,2014-07-28,1118
940,2014-07-29,1243
941,2014-07-30,1368
942,2014-07-31,1493
943,2014-08-01,1003
944,2014-08-02,313
945,2014-08-03,0
946,2014-08-04,722
947,2014-08-05,846
948,2014-08-06,971
949,2014-08-07,0
950,2014-08-08,1052
951,2014-08-09,362
952,2014-08-10,0
953,2014-08-11,844
954,2014-08-12,969
955,2014-08-13,1094
956,2014-08-14,1219
957,2014-08-15,1123
958,2014-08-16,410
959,2014-08-17,0
960,2014-08-18,0
961,2014-08-19,1091
962,2014-08-20,1216
963,2014-08-21,1341
964,2014-08-22,1288
965,2014-08-23,505
966,2014-08-24,0
967,2014-08-25,1089
968,2014-08-26,1214
969,2014-08-27,1339
970,2014-08-28,1464
971,2014-08-29,1453
972,2014-08-30,670
973,2014-08-31,0
974,2014-09-01,692
975,2014-09-02,817
976,2014-09-03,942
977,2014-09-04,1105
978,2014-09-05,1043
979,2014-09-06,353
980,2014-09-07,0
981,2014-09-08,815
982,2014-09-09,940
983,2014-09-10,1065
984,2014-09-11,1189
985,2014-09-12,1092
986,2014-09-13,402
987,2014-09-14,0
988,2014-09-15,937
989,2014-09-16,1062
990,2014-09-17,1187
991,2014-09-18,1312
992,2014-09-19,1242
993,2014-09-20,459
994,2014-09-21,0
995,2014-09-22,1060
996,2014-09-23,1185
997,2014-09-24,1310
998,2014-09-25,1434
999,2014-09-26,1407
1000,2014-09-27,624
1001,2014-09-28,0
1002,2014-09-29,1182
1003,2014-09-30,1307
1004,2014-10-01,930
1005,2014-10-02,1114
1006,2014-10-03,1041
1007,2014-10-04,351
1008,2014-10-05,0
1009,2014-10-06,803
1010,2014-10-07,928
1011,2014-10-08,1053
1012,2014-10-09,1178
1013,2014-10-10,1090
1014,2014-10-11,400
1015,2014-10-12,0
1016,2014-10-13,0
1017,2014-10-14,1051
1018,2014-10-15,1175
1019,2014-10-16,1300
1020,2014-10-17,1219
1021,2014-10-18,449
1022,2014-10-19,0
1023,2014-10-20,1048
1024,2014-10-21,1173
1025,2014-10-22,1298
1026,2014-10-23,1423
1027,2014-10-24,1385
1028,2014-10-25,602
1029,2014-10-26,0
1030,2014-10-27,1171
1031,2014-10-28,1296
1032,2014-10-29,1420
1033,2014-10-30,1545
1034,2014-10-31,1550
1035,2014-11-01,343
1036,2014-11-02,0
1037,2014-11-03,0
1038,2014-11-04,899
1039,2014-11-05,1024
1040,2014-11-06,1149
1041,2014-11-07,1081
1042,2014-11-08,392
1043,2014-11-09,0
1044,2014-11-10,897
1045,2014-11-11,1022
1046,2014-11-12,1146
1047,2014-11-13,1271
1048,2014-11-14,1173
1049,2014-11-15,440
1050,2014-11-16,0
1051,2014-11-17,0
1052,2014-11-18,1144
1053,2014-11-19,1269
1054,2014-11-20,1394
1055,2014-11-21,1339
1056,2014-11-22,556
1057,2014-11-23,0
1058,2014-11-24,1142
1059,2014-11-25,1267
1060,2014-11-26,1391
1061,2014-11-27,1516
1062,2014-11-28,1504
1063,2014-11-29,721
1064,2014-11-30,0
1065,2014-12-01,763
1066,2014-12-02,887
1067,2014-12-03,1012
1068,2014-12-04,1138
1069,2014-12-05,1080
1070,2014-12-06,390
1071,2014-12-07,0
1072,2014-12-08,0
1073,2014-12-09,1010
1074,2014-12-10,1135
1075,2014-12-11,1260
1076,2014-12-12,1151
1077,2014-12-13,439
1078,2014-12-14,0
1079,2014-12-15,1008
1080,2014-12-16,1132
1081,2014-12-17,1257
1082,2014-12-18,1382
1083,2014-12-19,1316
1084,2014-12-20,533
1085,2014-12-21,0
1086,2014-12-22,1130
1087,2014-12-23,1255
1088,2014-12-24,1380
1089,2014-12-25,0
1090,2014-12-26,1481
1091,2014-12-27,698
1092,2014-12-28,0
1093,2014-12-29,1253
1094,2014-12-30,1377
1095,2014-12-31,1502
1096,2015-01-01,0
1097,2015-01-02,924
1098,2015-01-03,234
1099,2015-01-04,0
1100,2015-01-05,576
1101,2015-01-06,700
1102,2015-01-07,825
1103,2015-01-08,1022
1104,2015-01-09,972
1105,2015-01-10,283
1106,2015-01-11,0
1107,2015-01-12,0
1108,2015-01-13,823
1109,2015-01-14,948
1110,2015-01-15,1073
1111,2015-01-16,1021
1112,2015-01-17,331
1113,2015-01-18,0
1114,2015-01-19,821
1115,2015-01-20,945
1116,2015-01-21,1070
1117,2015-01-22,1195
1118,2015-01-23,1138
1119,2015-01-24,380
1120,2015-01-25,0
1121,2015-01-26,943
1122,2015-01-27,1068
1123,2015-01-28,1193
1124,2015-01-29,1318
1125,2015-01-30,1303
1126,2015-01-31,521
1127,2015-02-01,0
1128,2015-02-02,546
1129,2015-02-03,671
1130,2015-02-04,812
1131,2015-02-05,1030
1132,2015-02-06,964
1133,2015-02-07,274
1134,2015-02-08,0
1135,2015-02-09,669
1136,2015-02-10,794
1137,2015-02-11,919
1138,2015-02-12,1043
1139,2015-02-13,1013
1140,2015-02-14,323
1141,2015-02-15,0
1142,2015-02-16,791
1143,2015-02-17,916
1144,2015-02-18,1041
1145,2015-02-19,1166
1146,2015-02-20,1092
1147,2015-02-21,372
1148,2015-02-22,0
1149,2015-02-23,914
1150,2015-02-24,1039
1151,2015-02-25,1164
1152,2015-02-26,1288
1153,2015-02-27,1257
1154,2015-02-28,474
1155,2015-03-01,0
1156,2015-03-02,570
1157,2015-03-03,695
1158,2015-03-04,823
1159,2015-03-05,1041
1160,2015-03-06,976
1161,2015-03-07,286
1162,2015-03-08,0
1163,2015-03-09,692
1164,2015-03-10,817
1165,2015-03-11,942
1166,2015-03-12,1067
1167,2015-03-13,1025
1168,2015-03-14,335
1169,2015-03-15,0
1170,2015-03-16,815
1171,2015-03-17,940
1172,2015-03-18,1064
1173,2015-03-19,1189
1174,2015-03-20,1117
1175,2015-03-21,384
1176,2015-03-22,0
1177,2015-03-23,0
1178,2015-03-24,1062
1179,2015-03-25,1187
1180,2015-03-26,1312
1181,2015-03-27,1282
1182,2015-03-28,499
1183,2015-03-29,0
1184,2015-03-30,1060
1185,2015-03-31,1185
1186,2015-04-01,831
1187,2015-04-02,0
1188,2015-04-03,0
1189,2015-04-04,278
1190,2015-04-05,0
1191,2015-04-06,663
1192,2015-04-07,788
1193,2015-04-08,913
1194,2015-04-09,1055
1195,2015-04-10,1016
1196,2015-04-11,326
1197,2015-04-12,0
1198,2015-04-13,786
